Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Bomb Damage Assessment,Source ID,id,start_week
131162,1942-10-19,MTO,USA,9 AF,98 BG,B24,NA,NA,RAMAT DAVID,PALESTINE,32.666603,35.183325,NA,LIBYA,TOBRUK,NA,NA,NA,32.04,23.95,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,36,1486,1942-10-19
131163,1942-09-27,CBI,USA,10 AF,CATF (11 BS),B25,NA,1,KUNMING,CHINA,24.992222,102.743333,NA,CHINA,TENGCHUNG (YUNNAN)/TANGSHAN,KAILAN MINES,NA,NA,24.5,101.5,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,0,72,110 LB  INCENDIARY,7920,NA,60,17 KG CHINESE,2244,NA,10164,5.082,EXCELLENT,32,1487,1942-09-21
131164,1942-10-20,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,LG 17 / LG 18,NA,NA,NA,31.07,27.95,95,24,24,24,NA,NA,NA,NA,192,250 LB GP (GP-M57),NA,24,NA,NA,NA,0,NA,NA,NA,0,NA,24,NA,NA,1488,1942-10-19
131166,1942-10-20,MTO,USA,9 AF,1ST PROV GRP,B17,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,TOBRUK,NA,NA,NA,32.04,23.95,0,6,3,3,NA,NA,NA,NA,18,1000 LB GP (GP-M44/M65),NA,9,NA,NA,NA,0,NA,NA,NA,0,NA,9,NA,61,1489,1942-10-19
131167,1942-10-20,MTO,USA,9 AF,1ST PROV GRP,B24,NA,NA,LYDDA,PALESTINE,32.009444,34.882778,NA,LIBYA,BARDIA DOCKS,NA,NA,NA,32.04,23.95,0,9,2,2,NA,NA,NA,NA,10,1000 LB GP (GP-M44/M65),NA,5,NA,NA,NA,0,NA,NA,NA,0,NA,5,NA,60,1490,1942-10-19
131176,1942-10-21,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,LG 21 / LG 104,NA,NA,NA,31.03,28.27,80,18,18,18,NA,NA,NA,NA,144,250 LB GP (GP-M57),NA,18,NA,NA,NA,0,NA,NA,NA,0,NA,18,NA,NA,1491,1942-10-19
131179,1942-10-21,MTO,GREAT BRITAIN,RAF,160 SQDN,LIB,NA,NA,AQIR,EGYPT,31.833333,34.8166667,NA,CRETE,MALEME AERODROME,NA,NA,1,35.53,23.83,94,8,8,8,NA,NA,NA,NA,0,500 LB GP (GP-M43/M64),NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,23.5,NA,698761,1492,1942-10-19
131189,1942-10-21,MTO,USA,9 AF,98 BG,B24,NA,NA,RAMAT DAVID,PALESTINE,32.666603,35.183325,NA,LIBYA,BENGHAZI,NA,NA,NA,32.11,20.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,38,1493,1942-10-19
131190,1942-10-21,CBI,USA,10 AF,IATF (436 BS),B24,NA,1,FUNGWANSHAN (CHENGTU),CHINA,30.529167,104.064722,NA,CHINA,LINSI MINE INSTALLATION,COAL MINE,NA,NA,39.7,118.433333,14000,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494,1942-10-19
131194,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,31,28.65,90,4,1,1,NA,NA,NA,NA,8,250 LB GP (GP-M57),NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,1495,1942-10-19
