,Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,TargetCountry,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,id,start_week
472,35103,1944-01-17,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,1311,ITALY,ANZIO,NA,NA,NA,41.45,12.63,NA,8,NA,NA,NA,NA,NA,NA,16,500 LB GP (GP-M43/M64),NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,472,1944-01-17
473,35106,1944-01-17,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,42742,ITALY,TARQUINIA,NA,NA,NA,42.25,11.75,NA,6,NA,NA,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,473,1944-01-17
474,35107,1944-01-17,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,42742,ITALY,TARQUINIA,NA,NA,NA,42.25,11.75,NA,6,NA,NA,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,474,1944-01-17
475,35149,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,2178,ITALY,AVEZZANO,NA,ARMAMENT AND ORDNANCE PLANTS,NA,42.03,13.43,NA,40,NA,40,NA,NA,NA,NA,80,500 LB GP (GP-M43/M64),NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,475,1944-01-17
476,35151,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,33717,ITALY,PIGNATARO,NA,NA,NA,41.2,14.18,NA,31,NA,31,1,1,NA,NA,62,500 LB GP (GP-M43/M64),NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,476,1944-01-17
477,35152,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,33717,ITALY,PIGNATARO,NA,NA,NA,41.2,14.18,NA,28,NA,28,2,NA,NA,NA,56,500 LB GP (GP-M43/M64),NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,477,1944-01-17
478,35162,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,9535,ITALY,CORENO PLINIO,NA,ARMAMENT AND ORDNANCE PLANTS,NA,41.33,13.78,NA,16,NA,NA,NA,NA,NA,NA,32,500 LB GP (GP-M43/M64),NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,478,1944-01-17
479,35167,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,43021,ITALY,TERRACINA,NA,NA,NA,41.27,13.25,NA,12,NA,NA,NA,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,479,1944-01-17
480,35173,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,8364,ITALY,CEPRANO,NA,NA,NA,41.55,13.53,NA,8,NA,NA,NA,NA,NA,NA,16,500 LB GP (GP-M43/M64),NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,480,1944-01-17
481,35175,1944-01-18,MTO,USA,12 AF,86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,20724,ITALY,ITRI,NA,NA,NA,41.28,13.53,NA,7,NA,NA,NA,NA,NA,NA,14,500 LB GP (GP-M43/M64),NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,481,1944-01-17
482,35448,1944-01-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,33717,ITALY,PIGNATARO,NA,NA,NA,41.2,14.18,NA,67,NA,67,3,NA,NA,NA,134,500 LB GP (GP-M43/M64),NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,NA,NA,NA,482,1944-01-17
483,35452,1944-01-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,17098,ITALY,GROSSETO,NA,NA,NA,42.77,11.13,NA,26,NA,52,NA,NA,NA,NA,52,500 LB GP (GP-M43/M64),NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,483,1944-01-17
484,35465,1944-01-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,25298,ITALY,LITTORIA,NA,NA,NA,41.47,12.9,NA,12,NA,NA,NA,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,484,1944-01-17
485,35466,1944-01-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,44833,ITALY,VELLETRI,NA,NA,NA,41.68,12.78,NA,12,NA,NA,NA,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,485,1944-01-17
486,35467,1944-01-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,14178,ITALY,FONDI,NA,NA,NA,41.45,13.45,NA,12,NA,NA,NA,NA,NA,NA,24,500 LB GP (GP-M43/M64),NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,486,1944-01-17
487,35471,1944-01-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,33717,ITALY,PIGNATARO,NA,NA,NA,41.2,14.18,NA,7,NA,7,NA,1,NA,NA,14,500 LB GP (GP-M43/M64),NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,487,1944-01-17
488,35726,1944-01-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,15112,ITALY,FROSINONE,NA,NA,NA,41.63,13.37,NA,57,NA,57,NA,4,NA,NA,114,500 LB GP (GP-M43/M64),NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,NA,NA,NA,488,1944-01-17
489,35727,1944-01-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,7697,ITALY,CARSOLI,NA,NA,NA,42.1,13.1,NA,44,NA,44,2,NA,NA,NA,88,500 LB GP (GP-M43/M64),NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,489,1944-01-17
